No,f1,f2,a1,a2,X,Y,Z,K,M,N
106,-1,1,-45,-90,-0.122410607,0.282689664,-1.535156327,0.214676005,0.595699084,1.179461606
107,-1,1,-45,-45,-0.00105035,0.005446408,-0.992381135,0.004012127,0.011003694,2.33382591
108,-1,1,-45,0,0.001200355,-0.073145956,-0.41261596,-0.116926418,-0.571071426,2.416284883
109,-1,1,-45,45,-0.000763539,0.009878442,0.010046045,-0.200557736,-1.8376618,1.829684561
110,-1,1,-45,90,-0.113641493,0.495939376,0.64948635,-0.203738024,-2.062821156,0.128658086
111,-1,1,0,-90,-0.127864825,0.529806188,-0.909141037,0.319233228,1.665555611,0.806029355
112,-1,1,0,-45,-0.00179588,0.092474846,-0.4278747,0.110574693,0.520398121,2.425779087
113,-1,1,0,0,-0.000805514,0.012571162,-8.44E-05,-0.001058743,-0.007973124,2.702904655
114,-1,1,0,45,-0.002526791,0.096518027,0.423505012,-0.124299492,-0.539834675,2.440473694
115,-1,1,0,90,-0.126089124,0.519071297,0.88551707,-0.288144716,-1.654062804,0.832170794
116,-1,1,45,-90,-0.115971398,0.503593778,-0.658074817,0.1960808,2.078946754,0.143892229
117,-1,1,45,-45,-0.000959446,0.011195387,-0.010784631,0.215494274,1.815119881,1.839211338
118,-1,1,45,0,0.001536404,-0.079078425,0.39926539,0.114603456,0.55892229,2.409949733
119,-1,1,45,45,-0.000161045,0.005852662,0.934244844,0.000263422,0.004353657,2.229504593
120,-1,1,45,90,-0.130551829,0.290183514,1.619532717,-0.216529128,-0.659873913,1.279325895
121,-1,1,90,-90,-0.000937214,0.000802111,-0.017341507,0.00437892,0.71962741,-0.043827934
122,-1,1,90,-45,0.112438536,-0.486820114,0.624594087,0.186385767,2.025658614,0.144671964
123,-1,1,90,0,0.126387565,-0.518599498,0.884606168,0.302839586,1.664071353,0.821524874
124,-1,1,90,45,0.124004028,-0.26704466,1.5479379,0.201757435,0.624620639,1.227315429
125,-1,1,90,90,0.000453142,0.005638786,3.22826336,-0.002686968,0.023972897,0.744388847
126,-0.5,-1,-90,-90,-2.894626196,0.664757958,-1.504557057,0.102975016,-0.081909839,-0.156498727
127,-0.5,-1,-90,-45,-2.700595598,0.774604576,-0.849784945,0.142651106,0.396904593,-0.055491578
128,-0.5,-1,-90,0,-2.775672871,0.875045465,0.088816388,0.046931224,-0.096255356,0.053861588
129,-0.5,-1,-90,45,-2.755840144,0.847127126,1.146118263,-0.129590927,0.42253113,-0.406525304
130,-0.5,-1,-90,90,-3.118506266,0.79010844,2.306808155,-0.304055388,0.778767314,0.120257598
131,-0.5,-1,-45,-90,-2.923011642,0.943673554,-0.908460901,0.31511804,-0.55858029,-0.25169606
132,-0.5,-1,-45,-45,-2.909721664,1.255995601,-0.575238199,0.464522724,0.35630753,-0.162125897
133,-0.5,-1,-45,0,-2.817611735,1.73112599,0.604351484,0.291050885,0.399875595,-0.208598553
134,-0.5,-1,-45,45,-2.965633109,1.802100646,1.81644736,-0.199574732,0.741577924,-0.441981676
135,-0.5,-1,-45,90,-3.00954982,1.333772174,2.275116875,-0.591968281,0.892332825,0.599026073
136,-0.5,-1,0,-90,-2.927598504,1.300508118,-1.37741294,0.615398263,-1.282975122,0.421891189
137,-0.5,-1,0,-45,-2.698812473,1.779624345,-0.996204752,0.550478496,-0.19569654,-0.216900916
138,-0.5,-1,0,0,-2.788853243,2.307320343,0.030932037,0.032852426,0.016826491,-0.603399331
139,-0.5,-1,0,45,-2.903054445,1.861734171,1.073216151,-0.51646467,0.196699646,-0.237992622
140,-0.5,-1,0,90,-3.033983829,1.303639353,1.395853123,-0.548133979,1.233300049,0.440725114
141,-0.5,-1,45,-90,-3.038798242,1.380756068,-2.325216366,0.695362656,-0.88891491,0.677099184
142,-0.5,-1,45,-45,-2.862936611,1.773449535,-1.72208613,0.296488585,-0.717970788,-0.441014356
143,-0.5,-1,45,0,-2.895897763,1.754896873,-0.561919993,-0.224773334,-0.385505741,-0.26215548
144,-0.5,-1,45,45,-2.615591447,1.083815462,0.526921548,-0.35019902,-0.204762209,-0.152024917
145,-0.5,-1,45,90,-2.971721228,0.930533773,0.892792433,-0.270008949,0.55245549,-0.160229802
146,-0.5,-1,90,-90,-2.932911467,0.756564359,-2.173374104,0.337746427,-0.744831879,0.176233944
147,-0.5,-1,90,-45,-2.829294535,0.873198832,-1.140846268,0.182547906,-0.501183564,-0.422758864
148,-0.5,-1,90,0,-2.636390979,0.814968771,-0.021157744,0.016146246,0.129823286,-0.062196676
149,-0.5,-1,90,45,-2.820468238,0.788070618,0.917751807,-0.114107456,-0.350278279,-0.041286134
150,-0.5,-1,90,90,-2.950149162,0.644181772,1.541025529,-0.072409159,0.095623391,-0.097596635
151,-0.5,-0.5,-90,-90,-1.868147498,0.001106887,0.254942749,6.919E-05,-0.804166252,-0.001620076
152,-0.5,-0.5,-90,-45,-1.886605657,-0.287664835,0.228217,-0.068452599,-0.701277545,-0.177418317
153,-0.5,-0.5,-90,0,-1.919726413,-0.407226329,-0.208012658,-0.249582954,-0.47041828,-0.529381199
154,-0.5,-0.5,-90,45,-1.882265977,-0.327897708,-0.506238257,-0.398995673,-0.061494969,-0.361943103
155,-0.5,-0.5,-90,90,-1.823139378,0.00219479,0.00267529,-0.488127323,-0.045306786,-0.01659272
156,-0.5,-0.5,-45,-90,-1.871726202,0.29339732,0.243503387,0.073565044,-0.731514011,0.22471557
157,-0.5,-0.5,-45,-45,-1.916499405,0.002503536,0.181886402,0.000412689,-0.524488097,0.001576675
158,-0.5,-0.5,-45,0,-1.913918518,-0.102594733,0.006595846,-0.077563881,-0.261838253,-0.156706637
159,-0.5,-0.5,-45,45,-1.90922885,0.00356493,0.00409862,-0.212724574,-0.005881268,0.002435038
160,-0.5,-0.5,-45,90,-1.89779429,0.33567802,0.504191292,-0.382755298,-0.010317349,0.343952943
161,-0.5,-0.5,0,-90,-1.879331119,0.413159751,-0.213736923,0.254590281,-0.459421795,0.533928902
162,-0.5,-0.5,0,-45,-1.912537671,0.112819329,0.00374986,0.081674196,-0.261606796,0.156945167
163,-0.5,-0.5,0,0,-1.894458957,0.004957108,-0.000808229,0.00014219,0.00013579,0.001507415
164,-0.5,-0.5,0,45,-1.898956756,0.113738855,-0.000530772,-0.084719666,0.271716268,0.154895126
